CREATED_TIMESTAMP,METRIC_VALUE_FLOAT
03-MAY-19 07.00.00 PM,2.16
03-MAY-19 06.45.00 PM,2.3
03-MAY-19 06.15.00 PM,2.57
03-MAY-19 06.30.00 PM,2.57
03-MAY-19 05.45.00 PM,2.09
03-MAY-19 06.00.00 PM,2.14
03-MAY-19 05.30.00 PM,2.61
03-MAY-19 05.00.00 PM,1.85
03-MAY-19 05.15.00 PM,2.47
03-MAY-19 04.30.00 PM,2.62
03-MAY-19 04.45.00 PM,2.15
03-MAY-19 04.15.00 PM,2.02
03-MAY-19 04.00.00 PM,2.04
03-MAY-19 03.30.00 PM,1.56
03-MAY-19 03.45.00 PM,2.23
03-MAY-19 03.00.00 PM,1.77
03-MAY-19 03.15.00 PM,1.74
03-MAY-19 02.30.00 PM,1.83
03-MAY-19 02.45.00 PM,1.52
03-MAY-19 02.15.00 PM,1.48
03-MAY-19 01.45.00 PM,2.27
03-MAY-19 02.00.00 PM,2.11
03-MAY-19 01.15.00 PM,1.62
03-MAY-19 01.30.00 PM,2.64
03-MAY-19 01.00.00 PM,1.96
03-MAY-19 12.45.00 PM,1.84
03-MAY-19 12.30.00 PM,1.3
03-MAY-19 12.00.00 PM,1.48
03-MAY-19 12.15.00 PM,1.13
03-MAY-19 11.45.00 AM,1.65
03-MAY-19 11.15.00 AM,1.36
03-MAY-19 11.30.00 AM,1.21
03-MAY-19 10.45.00 AM,1.63
03-MAY-19 11.00.00 AM,0.96
03-MAY-19 10.30.00 AM,1.38
03-MAY-19 10.00.00 AM,1.06
03-MAY-19 10.15.00 AM,1.12
03-MAY-19 09.30.00 AM,1.21
03-MAY-19 09.45.00 AM,1.15
03-MAY-19 09.00.00 AM,1.26
03-MAY-19 09.15.00 AM,1.16
03-MAY-19 08.45.00 AM,0.89
03-MAY-19 08.30.00 AM,0.82
03-MAY-19 08.15.00 AM,1.2
03-MAY-19 08.00.00 AM,1.15
03-MAY-19 07.45.00 AM,0.79
